function,backend,dtype,n,max_ulp,p99_ulp,median_ulp,frac_gt1,frac_gt10,max_abs_err,nonfinite_mismatch,worst_x,worst_got,worst_ref,vec_scalar_mismatch,default_tol_fail,op_tol_fail,op_rtol,op_atol,seconds
log2,jax,f32,103,1.0095229438339128,1.007640812040878,0.32208429898794183,0.021505376344086023,0.0,7.702048833380104e-06,10,3.5968849207152634e+33,111.47036743164062,111.47037513368946,,,,,,0.05
log2,torch,f64,614,0.4999824457599641,0.49838936915258614,0.25298823604414133,0.0,0.0,0.0,0,9.048869476572126e+273,910.0641074641338,910.0641074641338,0,0,0,1e-07,1e-07,0.02
log2,numpy,f64,614,0.4999824457599641,0.49838936915258614,0.25298823604414133,0.0,0.0,0.0,0,9.048869476572126e+273,910.0641074641338,910.0641074641338,,,,,,0.02
log2,jax,f64,614,1.2701855497199028,1.0189444906171112,0.31066118879541615,0.013029315960912053,0.0,1.1368683772161603e-13,0,2.4115920290245497e-71,-234.5869088710107,-234.58690887101073,,,,,,0.05
log10,torch,f32,103,0.4941043510998668,0.48718278258825487,0.2184621129015351,0.0,0.0,1.8589725456763517e-06,0,1.8446742974197924e+19,19.265920639038086,19.265919696608826,0,0,0,1.3e-06,1e-05,0.01
log10,numpy,f32,103,1.3867523186426205,1.3742469675343376,0.5602225468920434,0.10679611650485436,0.0,4.912262959066993e-06,0,2.9002632108075164e-23,-22.537565231323242,-22.537562586303103,,,,,,0.0
log10,jax,f32,103,1.2022844439510367,1.1926158800205031,0.3984805455719221,0.021505376344086023,0.0,3.4137700097858215e-06,10,3.555643356923398e+30,30.550920486450195,30.550918193274605,,,,,,0.05
log10,torch,f64,614,0.4685201403369414,0.2546529207807761,0.0007581809750486629,0.0,0.0,0.0,0,0.3333333333333333,-0.47712125471966244,-0.47712125471966244,0,0,0,1e-07,1e-07,0.02
log10,numpy,f64,614,0.4685201403369414,0.2546529207807761,0.0007581809750486629,0.0,0.0,0.0,0,0.3333333333333333,-0.47712125471966244,-0.47712125471966244,,,,,,0.02
log10,jax,f64,614,1.0130079279706166,1.002664770300275,0.0009750697875851017,0.09609120521172639,0.0,5.684341886080802e-14,0,2.86700894814858e-26,-25.542570951585954,-25.542570951585958,,,,,,0.05
log1p,torch,f32,103,1.0,1.0,0.047579797061367356,0.0,0.0,3.6566491701250925e-06,0,1.401298464324817e-45,0.0,1.401298464324817e-45,0,0,0,1.3e-06,1e-05,0.01
log1p,numpy,f32,103,1.2122976445226663,0.6002188066890212,0.031954796595720265,0.009708737864077669,0.0,3.6566491701250925e-06,0,0.3333333432674408,0.28768211603164673,0.2876820799023615,,,,,,0.0
